,date,sales,revenue,stock,price,promo_bin_2,promo_discount_2,promo_discount_type_2
count,50000,50000,50000,50000,50000,50000,50000,50000
mean,2017-01-03 10:12:51.840000256,0.51521292,1.4823532000000001,16.114277859999998,8.6476664,0,0,0
min,2017-01-02 00:00:00,0,0,0,0,0,0,0
25%,2017-01-02 00:00:00,0,0,4,2.25,0,0,0
50%,2017-01-03 00:00:00,0,0,8,5.5,0,0,0
75%,2017-01-04 00:00:00,0,0,17,10,0,0,0
max,2017-01-05 00:00:00,161,737.92,2782,219.9,0,0,0
std,,2.4834874555157125,7.610474535329765,39.773658765702784,10.738803274118874,0,0,0
